Entry Name,Level up Rate,Catch Rate,Gender Ratio,Exp yield,Base Happiness,Height,Weight,Cry ID,Unknown 1,Unknown 2,National Dex Index,Hoenn dex regional id,Name ID,Species Name ID,Unknown 3,Unknown 4,Unknown 5,Model ID,Types 1,Types 2,Abilities 1,Abilities 2,TM01 FOCUS PUNCH,TM02 DRAGON CLAW,TM03 WATER PULSE,TM04 CALM MIND,TM05 ROAR,TM06 TOXIC,TM07 HAIL,TM08 BULK UP,TM09 BULLET SEED,TM10 HIDDEN POWER,TM11 SUNNY DAY,TM12 TAUNT,TM13 ICE BEAM,TM14 BLIZZARD,TM15 HYPER BEAM,TM16 LIGHT SCREEN,TM17 PROTECT,TM18 RAIN DANCE,TM19 GIGA DRAIN,TM20 SAFEGUARD,TM21 FRUSTRATION,TM22 SOLARBEAM,TM23 IRON TAIL,TM24 THUNDERBOLT,TM25 THUNDER,TM26 EARTHQUAKE,TM27 RETURN,TM28 DIG,TM29 PSYCHIC,TM30 SHADOW BALL,TM31 BRICK BREAK,TM32 DOUBLE TEAM,TM33 REFLECT,TM34 SHOCK WAVE,TM35 FLAMETHROWER,TM36 SLUDGE BOMB,TM37 SANDSTORM,TM38 FIRE BLAST,TM39 ROCK TOMB,TM40 AERIAL ACE,TM41 TORMENT,TM42 FACADE,TM43 SECRET POWER,TM44 REST,TM45 ATTRACT,TM46 THIEF,TM47 STEEL WING,TM48 SKILL SWAP,TM49 SNATCH,TM50 OVERHEAT,HM01 CUT,HM02 FLY,HM03 SURF,HM04 STRENGTH,HM05 FLASH,HM06 ROCK SMASH,HM07 WATERFALL,HM08 DIVE,TutorMove08 BODY SLAM,TutorMove11 DOUBLE-EDGE,TutorMove03 SEISMIC TOSS,TutorMove01 MIMIC,TutorMove06 DREAM EATER,TutorMove02 THUNDER WAVE,TutorMove05 SUBSTITUTE,TutorMove04 ICY WIND,TutorMove07 SWAGGER,TutorMove10 SKY ATTACK,TutorMove12 SELFDESTRUCT,TutorMove09 NIGHTMARE,Wild Items 1,Wild Items 2,Egg Moves 1,Egg Moves 2,Egg Moves 3,Egg Moves 4,Egg Moves 5,Egg Moves 6,Egg Moves 7,Egg Moves 8,Base Stats HP,Base Stats Attack,Base Stats Defense,Base Stats Sp.Atk,Base Stats Sp.Def,Base Stats Speed,EV Yields HP,EV Yields Attack,EV Yields Defense,EV Yields Sp.Atk,EV Yields Sp.Def,EV Yields Speed,Evolutions 1 Evolution Method,Evolutions 1 Evolution Condition,Evolutions 1 Evolved Form,Evolutions 2 Evolution Method,Evolutions 2 Evolution Condition,Evolutions 2 Evolved Form,Evolutions 3 Evolution Method,Evolutions 3 Evolution Condition,Evolutions 3 Evolved Form,Evolutions 4 Evolution Method,Evolutions 4 Evolution Condition,Evolutions 4 Evolved Form,Evolutions 5 Evolution Method,Evolutions 5 Evolution Condition,Evolutions 5 Evolved Form,Level Up Moves 1 Level,Level Up Moves 1 Move,Level Up Moves 2 Level,Level Up Moves 2 Move,Level Up Moves 3 Level,Level Up Moves 3 Move,Level Up Moves 4 Level,Level Up Moves 4 Move,Level Up Moves 5 Level,Level Up Moves 5 Move,Level Up Moves 6 Level,Level Up Moves 6 Move,Level Up Moves 7 Level,Level Up Moves 7 Move,Level Up Moves 8 Level,Level Up Moves 8 Move,Level Up Moves 9 Level,Level Up Moves 9 Move,Level Up Moves 10 Level,Level Up Moves 10 Move,Level Up Moves 11 Level,Level Up Moves 11 Move,Level Up Moves 12 Level,Level Up Moves 12 Move,Level Up Moves 13 Level,Level Up Moves 13 Move,Level Up Moves 14 Level,Level Up Moves 14 Move,Level Up Moves 15 Level,Level Up Moves 15 Move,Level Up Moves 16 Level,Level Up Moves 16 Move,Level Up Moves 17 Level,Level Up Moves 17 Move,Level Up Moves 18 Level,Level Up Moves 18 Move,Level Up Moves 19 Level,Level Up Moves 19 Move,Regular Sprites Pokedex Colour ID,Regular Sprites Face ID,Regular Sprites Purify Chamber Image ID,Shiny Sprites Pokedex Colour ID,Shiny Sprites Face ID,Shiny Sprites Purify Chamber Image ID
None  - 0,Standard (0),0,Male Only (0),0,0 (0x0),0,0,0 (0x0),0 (0x0),0 (0x0),0,0,None (0x0),None (0x0),0 (0x0),0 (0x0),0 (0x0),PKX Pokemon Model (0),NORMAL (0),NORMAL (0),None (0),None (0),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),None (0),0,0,0,0,0,0,0,0,0,0,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0 (0x0),Pokeface (0),None (0x0),0 (0x0),Pokeface (0),None (0x0)
BULBASAUR  - 1,Slow (3),45,87.5% Male (31),64,70 (0x46),7,69,994 (0x3E2),1 (0x1),1358 (0x54E),1,203,BULBASAUR (0x3E9),SEED (0x662),0 (0x0),7 (0x7),393 (0x189),pkx_fushigidane.fsys (1),GRASS (12),POISON (3),OVERGROW (65),None (0),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),LIGHT SCREEN (113),SKULL BASH (130),SAFEGUARD (219),CHARM (204),PETAL DANCE (80),MAGICAL LEAF (345),GRASSWHISTLE (320),CURSE (174),45,49,49,65,65,45,0,0,0,1,0,0,Level Up (4),16 (0x10),IVYSAUR (2),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,TACKLE (33),4,GROWL (45),7,LEECH SEED (73),10,VINE WHIP (22),15,POISONPOWDER (77),15,SLEEP POWDER (79),20,RAZOR LEAF (75),25,SWEET SCENT (230),32,GROWTH (74),39,SYNTHESIS (235),46,SOLARBEAM (76),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),4 (0x4),face001.gtx Regular (1),poke_dance.fsys -> fushigidane.atx (0x1C373200),4 (0x4),face001.gtx Shiny (387),poke_dance.fsys -> fushigidane_c.atx (0x1C383200)
IVYSAUR  - 2,Slow (3),45,87.5% Male (31),141,70 (0x46),10,130,995 (0x3E3),2 (0x2),1360 (0x550),2,204,IVYSAUR (0x3EA),SEED (0x662),0 (0x0),8 (0x8),394 (0x18A),pkx_fushigisou.fsys (2),GRASS (12),POISON (3),OVERGROW (65),None (0),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),LIGHT SCREEN (113),SKULL BASH (130),SAFEGUARD (219),CHARM (204),PETAL DANCE (80),MAGICAL LEAF (345),GRASSWHISTLE (320),CURSE (174),60,62,63,80,80,60,0,0,0,1,1,0,Level Up (4),32 (0x20),VENUSAUR (3),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,TACKLE (33),1,GROWL (45),1,LEECH SEED (73),4,GROWL (45),7,LEECH SEED (73),10,VINE WHIP (22),15,POISONPOWDER (77),15,SLEEP POWDER (79),22,RAZOR LEAF (75),29,SWEET SCENT (230),38,GROWTH (74),47,SYNTHESIS (235),56,SOLARBEAM (76),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),4 (0x4),face002.gtx Regular (2),poke_dance.fsys -> fushigisou.atx (0x1C393200),4 (0x4),face002.gtx Shiny (388),poke_dance.fsys -> fushigisou_c.atx (0x1C3A3200)
VENUSAUR  - 3,Slow (3),45,87.5% Male (31),208,70 (0x46),20,1000,996 (0x3E4),3 (0x3),1357 (0x54D),3,205,VENUSAUR (0x3EB),SEED (0x662),0 (0x0),9 (0x9),395 (0x18B),pkx_fushigibana.fsys (3),GRASS (12),POISON (3),OVERGROW (65),None (0),FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),LIGHT SCREEN (113),SKULL BASH (130),SAFEGUARD (219),CHARM (204),PETAL DANCE (80),MAGICAL LEAF (345),GRASSWHISTLE (320),CURSE (174),80,82,83,100,100,80,0,0,0,2,1,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,TACKLE (33),1,GROWL (45),1,LEECH SEED (73),1,VINE WHIP (22),4,GROWL (45),7,LEECH SEED (73),10,VINE WHIP (22),15,POISONPOWDER (77),15,SLEEP POWDER (79),22,RAZOR LEAF (75),29,SWEET SCENT (230),41,GROWTH (74),53,SYNTHESIS (235),65,SOLARBEAM (76),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),4 (0x4),face003.gtx Regular (3),poke_dance.fsys -> fushigibana.atx (0x1C353200),4 (0x4),face003.gtx Shiny (389),poke_dance.fsys -> fushigibana_c.atx (0x1C363200)
CHARMANDER  - 4,Slow (3),45,87.5% Male (31),65,70 (0x46),6,85,997 (0x3E5),4 (0x4),1358 (0x54E),4,206,CHARMANDER (0x3EC),LIZARD (0x67D),0 (0x0),10 (0xA),396 (0x18C),pkx_hitokage.fsys (4),FIRE (10),FIRE (10),BLAZE (66),None (0),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),BELLY DRUM (187),ANCIENTPOWER (246),ROCK SLIDE (157),BITE (44),OUTRAGE (200),BEAT UP (251),SWORDS DANCE (14),DRAGON DANCE (349),39,52,43,60,50,65,0,0,0,0,0,1,Level Up (4),16 (0x10),CHARMELEON (5),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,SCRATCH (10),1,GROWL (45),7,EMBER (52),13,SMOKESCREEN (108),19,RAGE (99),25,SCARY FACE (184),31,FLAMETHROWER (53),37,SLASH (163),43,DRAGON RAGE (82),49,FIRE SPIN (83),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),1 (0x1),face004.gtx Regular (4),poke_dance.fsys -> hitokage.atx (0x1C863200),1 (0x1),face004.gtx Shiny (390),poke_dance.fsys -> hitokage_c.atx (0x1C873200)
CHARMELEON  - 5,Slow (3),45,87.5% Male (31),142,70 (0x46),11,190,998 (0x3E6),5 (0x5),1360 (0x550),5,207,CHARMELEON (0x3ED),FLAME (0x615),0 (0x0),11 (0xB),397 (0x18D),pkx_lizardo.fsys (5),FIRE (10),FIRE (10),BLAZE (66),None (0),TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),BELLY DRUM (187),ANCIENTPOWER (246),ROCK SLIDE (157),BITE (44),OUTRAGE (200),BEAT UP (251),SWORDS DANCE (14),DRAGON DANCE (349),58,64,58,80,65,80,0,0,0,1,0,1,Level Up (4),36 (0x24),CHARIZARD (6),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,SCRATCH (10),1,GROWL (45),1,EMBER (52),7,EMBER (52),13,SMOKESCREEN (108),20,RAGE (99),27,SCARY FACE (184),34,FLAMETHROWER (53),41,SLASH (163),48,DRAGON RAGE (82),55,FIRE SPIN (83),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),1 (0x1),face005.gtx Regular (5),poke_dance.fsys -> lizardo.atx (0x1CFC3200),1 (0x1),face005.gtx Shiny (391),poke_dance.fsys -> lizardo_c.atx (0x1CFF3200)
CHARIZARD  - 6,Slow (3),45,87.5% Male (31),209,70 (0x46),17,905,999 (0x3E7),6 (0x6),1357 (0x54D),6,208,CHARIZARD (0x3EE),FLAME (0x615),0 (0x0),12 (0xC),398 (0x18E),pkx_lizardon.fsys (6),FIRE (10),FLYING (2),BLAZE (66),None (0),TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),BELLY DRUM (187),ANCIENTPOWER (246),ROCK SLIDE (157),BITE (44),OUTRAGE (200),BEAT UP (251),SWORDS DANCE (14),DRAGON DANCE (349),78,84,78,109,85,100,0,0,0,3,0,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,SCRATCH (10),1,GROWL (45),1,EMBER (52),1,SMOKESCREEN (108),7,EMBER (52),13,SMOKESCREEN (108),20,RAGE (99),27,SCARY FACE (184),34,FLAMETHROWER (53),36,WING ATTACK (17),44,SLASH (163),54,DRAGON RAGE (82),64,FIRE SPIN (83),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),1 (0x1),face006.gtx Regular (6),poke_dance.fsys -> lizardon.atx (0x1CFD3200),1 (0x1),face006.gtx Shiny (392),poke_dance.fsys -> lizardon_c.atx (0x1CFE3200)
SQUIRTLE  - 7,Slow (3),45,87.5% Male (31),66,70 (0x46),5,90,1000 (0x3E8),7 (0x7),1358 (0x54E),7,209,SQUIRTLE (0x3EF),TINY TURTLE (0x621),0 (0x0),13 (0xD),399 (0x18F),pkx_zenigame.fsys (7),WATER (11),WATER (11),TORRENT (67),None (0),TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),MIRROR COAT (243),HAZE (114),MIST (54),FORESIGHT (193),FLAIL (175),REFRESH (287),MUD SPORT (300),YAWN (281),44,48,65,50,64,43,0,0,1,0,0,0,Level Up (4),16 (0x10),WARTORTLE (8),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,TACKLE (33),4,TAIL WHIP (39),7,BUBBLE (145),10,WITHDRAW (110),13,WATER GUN (55),18,BITE (44),23,RAPID SPIN (229),28,PROTECT (182),33,RAIN DANCE (240),40,SKULL BASH (130),47,HYDRO PUMP (56),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),2 (0x2),face007.gtx Regular (7),poke_dance.fsys -> zenigame.atx (0x1EBA3200),2 (0x2),face007.gtx Shiny (393),poke_dance.fsys -> zenigame_c.atx (0x1EBB3200)
WARTORTLE  - 8,Slow (3),45,87.5% Male (31),143,70 (0x46),10,225,1001 (0x3E9),8 (0x8),1360 (0x550),8,210,WARTORTLE (0x3F0),TURTLE (0x620),0 (0x0),14 (0xE),400 (0x190),pkx_kameil.fsys (8),WATER (11),WATER (11),TORRENT (67),None (0),TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),MIRROR COAT (243),HAZE (114),MIST (54),FORESIGHT (193),FLAIL (175),REFRESH (287),MUD SPORT (300),YAWN (281),59,63,80,65,80,58,0,0,1,0,1,0,Level Up (4),36 (0x24),BLASTOISE (9),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,TACKLE (33),1,TAIL WHIP (39),1,BUBBLE (145),4,TAIL WHIP (39),7,BUBBLE (145),10,WITHDRAW (110),13,WATER GUN (55),19,BITE (44),25,RAPID SPIN (229),31,PROTECT (182),37,RAIN DANCE (240),45,SKULL BASH (130),53,HYDRO PUMP (56),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),2 (0x2),face008.gtx Regular (8),poke_dance.fsys -> kameil.atx (0x1CB33200),2 (0x2),face008.gtx Shiny (394),poke_dance.fsys -> kameil_c.atx (0x1CB43200)
BLASTOISE  - 9,Slow (3),45,87.5% Male (31),210,70 (0x46),16,855,1005 (0x3ED),9 (0x9),1357 (0x54D),9,211,BLASTOISE (0x3F1),SHELLFISH (0x63A),0 (0x0),15 (0xF),401 (0x191),pkx_kamex.fsys (9),WATER (11),WATER (11),TORRENT (67),None (0),TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None (0),None (0),MIRROR COAT (243),HAZE (114),MIST (54),FORESIGHT (193),FLAIL (175),REFRESH (287),MUD SPORT (300),YAWN (281),79,83,100,85,105,78,0,0,0,0,3,0,None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),None (0),0 (0x0),None (0),1,TACKLE (33),1,TAIL WHIP (39),1,BUBBLE (145),1,WITHDRAW (110),4,TAIL WHIP (39),7,BUBBLE (145),10,WITHDRAW (110),13,WATER GUN (55),19,BITE (44),25,RAPID SPIN (229),31,PROTECT (182),42,RAIN DANCE (240),55,SKULL BASH (130),68,HYDRO PUMP (56),0,None (0),0,None (0),0,None (0),0,None (0),0,None (0),2 (0x2),face009.gtx Regular (9),poke_dance.fsys -> kamex.atx (0x1CB53200),2 (0x2),face009.gtx Shiny (395),poke_dance.fsys -> kamex_c.atx (0x1CB63200)
