Entry Name,Species,Level,Happiness,Item,AI Role,Is Key Strategic Pokemon,IVs HP,IVs Attack,IVs Defense,IVs Sp.Atk,IVs Sp.Def,IVs Speed,EVs HP,EVs Attack,EVs Defense,EVs Sp.Atk,EVs Sp.Def,EVs Speed,Moves 1,Moves 2,Moves 3,Moves 4,Can Fill Combo A Role 1,Can Fill Combo A Role 2,Can Fill Combo B Role 1,Can Fill Combo B Role 2,Use species second ability,Gender,Nature,Use Random Nature and Gender
None - 0,None (0),0,0,None (0),"なし"  (0),0,0,0,0,0,0,0,0,0,0,0,0,0,None (0),None (0),None (0),None (0),false,false,false,false,false,Male (0),Hardy (0),false
TOGEPI - 1,TOGEPI (175),25,0,None (0),"なし"  (0),0,0,0,0,0,0,0,0,0,0,0,0,0,ANCIENTPOWER (246),HELPING HAND (270),TRI ATTACK (161),FOLLOW ME (266),false,false,false,false,false,Male (0),Hasty (11),true
HOPPIP - 2,HOPPIP (187),20,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,FLASH (148),GIGA DRAIN (202),TACKLE (33),SPLASH (150),false,false,false,false,false,Male (0),Serious (12),false
LUDICOLO - 3,LUDICOLO (297),20,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,NATURE POWER (267),ABSORB (71),GROWL (45),ASTONISH (310),false,false,false,false,false,Female (1),Hardy (0),false
LUDICOLO - 4,LUDICOLO (297),20,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,NATURE POWER (267),ABSORB (71),GROWL (45),ASTONISH (310),false,false,false,false,false,Female (1),Serious (12),false
LUDICOLO - 5,LUDICOLO (297),20,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,NATURE POWER (267),ABSORB (71),GROWL (45),ASTONISH (310),false,false,false,false,false,Male (0),Docile (6),false
SKIPLOOM - 6,SKIPLOOM (188),30,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,MIMIC (102),GIGA DRAIN (202),TACKLE (33),AERIAL ACE (332),false,false,false,false,false,Male (0),Serious (12),false
LUDICOLO - 7,LUDICOLO (297),30,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,NATURE POWER (267),ABSORB (71),WATER PULSE (352),SECRET POWER (290),false,false,false,false,false,Female (1),Hardy (0),false
LUDICOLO - 8,LUDICOLO (297),30,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,NATURE POWER (267),SEISMIC TOSS (69),SECRET POWER (290),ASTONISH (310),false,false,false,false,false,Female (1),Serious (12),false
LUDICOLO - 9,LUDICOLO (297),30,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,NATURE POWER (267),GIGA DRAIN (202),WATER PULSE (352),SECRET POWER (290),false,false,false,false,false,Male (0),Docile (6),false
JUMPLUFF - 10,JUMPLUFF (189),40,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,MIMIC (102),GIGA DRAIN (202),SECRET POWER (290),AERIAL ACE (332),false,false,false,false,false,Male (0),Serious (12),false
LUDICOLO - 11,LUDICOLO (297),40,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,NATURE POWER (267),GIGA DRAIN (202),SECRET POWER (290),WATER PULSE (352),false,false,false,false,false,Female (1),Hardy (0),false
LUDICOLO - 12,LUDICOLO (297),40,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,NATURE POWER (267),BRICK BREAK (280),SECRET POWER (290),BODY SLAM (34),false,false,false,false,false,Female (1),Serious (12),false
LUDICOLO - 13,LUDICOLO (297),40,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,NATURE POWER (267),THUNDERPUNCH (9),SECRET POWER (290),FIRE PUNCH (7),false,false,false,false,false,Male (0),Docile (6),false
SENTRET - 14,SENTRET (161),5,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,DEFENSE CURL (111),SCRATCH (10),None (0),None (0),false,false,false,false,true,Male (0),Hardy (0),false
ZANGOOSE - 15,ZANGOOSE (380),31,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,BRICK BREAK (280),REFRESH (287),COUNTER (68),CRUSH CLAW (306),false,false,false,false,false,Female (1),Hardy (0),false
ALAKAZAM - 16,ALAKAZAM (65),44,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PSYCHIC (94),None (0),None (0),None (0),false,false,false,false,true,Male (0),Quirky (24),false
WINGULL - 17,WINGULL (309),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,WATER GUN (55),GROWL (45),None (0),None (0),false,false,false,false,false,Male (0),Hardy (0),false
LOTAD - 18,LOTAD (295),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,GROWL (45),ASTONISH (310),None (0),None (0),false,false,false,false,false,Female (1),Naive (14),false
TAILLOW - 19,TAILLOW (304),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PECK (64),GROWL (45),None (0),None (0),false,false,false,false,false,Female (1),Hardy (0),false
LEDYBA - 20,LEDYBA (165),11,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,PSYBEAM (60),REFRESH (287),AERIAL ACE (332),SUPERSONIC (48),false,false,false,false,false,Male (0),Hardy (0),false
WHISMUR - 21,WHISMUR (370),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,POUND (1),None (0),None (0),None (0),false,false,false,false,false,Male (0),Hardy (0),false
MARILL - 22,MARILL (183),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TACKLE (33),DEFENSE CURL (111),None (0),None (0),false,false,false,false,false,Male (0),Serious (12),false
ZUBAT - 23,ZUBAT (41),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SUPERSONIC (48),LEECH LIFE (141),None (0),None (0),false,false,false,false,false,Female (1),Serious (12),false
POOCHYENA - 24,POOCHYENA (286),11,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,DIG (91),HEAL BELL (215),POISON FANG (305),HOWL (336),false,false,false,false,false,Male (0),Hardy (0),false
SUNKERN - 25,SUNKERN (191),5,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ABSORB (71),None (0),None (0),None (0),false,false,false,false,false,Male (0),Hardy (0),false
SWABLU - 26,SWABLU (358),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,GROWL (45),PECK (64),None (0),None (0),false,false,false,false,false,Female (1),Hardy (0),false
FEEBAS - 27,FEEBAS (328),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,TACKLE (33),SPLASH (150),None (0),None (0),false,false,false,false,false,Male (0),Serious (12),false
TEDDIURSA - 28,TEDDIURSA (216),11,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,RETURN (216),REFRESH (287),LICK (122),METAL CLAW (232),false,false,false,false,false,Female (1),Hardy (0),false
SUNKERN - 29,SUNKERN (191),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,ABSORB (71),GROWTH (74),None (0),None (0),false,false,false,false,false,Male (0),Hardy (0),false
MAGIKARP - 30,MAGIKARP (129),6,0,None (0),"フリー"  (1),0,0,0,0,0,0,0,0,0,0,0,0,0,SPLASH (150),None (0),None (0),None (0),false,false,false,false,false,Female (1),Bashful (18),false
